sparsity_dict: {'0': 0.47500000000000003, '1': 0.525, '2': 0.47500000000000003, '3': 0.45, '4': 0.55, '5': 0.45, '6': 0.55, '7': 0.55}, total_sparsity:0.503125, loss: 11.364428520202637
sparsity_dict: {'0': 0.55, '1': 0.45, '2': 0.55, '3': 0.45, '4': 0.55, '5': 0.5, '6': 0.55, '7': 0.55}, total_sparsity:0.51875, loss: 11.598536491394043
sparsity_dict: {'0': 0.47500000000000003, '1': 0.47500000000000003, '2': 0.5, '3': 0.47500000000000003, '4': 0.55, '5': 0.5, '6': 0.45, '7': 0.525}, total_sparsity:0.49375, loss: 11.117878913879395
sparsity_dict: {'0': 0.55, '1': 0.55, '2': 0.5, '3': 0.5, '4': 0.45, '5': 0.45, '6': 0.45, '7': 0.525}, total_sparsity:0.49687499999999996, loss: 11.633475303649902
sparsity_dict: {'0': 0.5, '1': 0.525, '2': 0.5, '3': 0.45, '4': 0.55, '5': 0.47500000000000003, '6': 0.55, '7': 0.5}, total_sparsity:0.5062500000000001, loss: 11.350674629211426
sparsity_dict: {'0': 0.55, '1': 0.5, '2': 0.525, '3': 0.47500000000000003, '4': 0.525, '5': 0.5, '6': 0.5, '7': 0.55}, total_sparsity:0.515625, loss: 11.66100025177002
sparsity_dict: {'0': 0.5, '1': 0.47500000000000003, '2': 0.55, '3': 0.55, '4': 0.5, '5': 0.55, '6': 0.47500000000000003, '7': 0.45}, total_sparsity:0.5062500000000001, loss: 11.270705223083496
sparsity_dict: {'0': 0.5, '1': 0.47500000000000003, '2': 0.55, '3': 0.55, '4': 0.5, '5': 0.55, '6': 0.47500000000000003, '7': 0.45}, total_sparsity:0.5062500000000001, loss: 11.270705223083496
sparsity_dict: {'0': 0.525, '1': 0.47500000000000003, '2': 0.525, '3': 0.55, '4': 0.47500000000000003, '5': 0.55, '6': 0.47500000000000003, '7': 0.5}, total_sparsity:0.509375, loss: 11.336276054382324
sparsity_dict: {'0': 0.525, '1': 0.47500000000000003, '2': 0.47500000000000003, '3': 0.5, '4': 0.525, '5': 0.525, '6': 0.47500000000000003, '7': 0.525}, total_sparsity:0.503125, loss: 11.249593734741211
sparsity_dict: {'0': 0.525, '1': 0.5, '2': 0.45, '3': 0.5, '4': 0.525, '5': 0.525, '6': 0.525, '7': 0.525}, total_sparsity:0.5093749999999999, loss: 11.355777740478516
sparsity_dict: {'0': 0.525, '1': 0.47500000000000003, '2': 0.47500000000000003, '3': 0.5, '4': 0.525, '5': 0.525, '6': 0.45, '7': 0.525}, total_sparsity:0.5, loss: 11.228301048278809
sparsity_dict: {'0': 0.525, '1': 0.45, '2': 0.47500000000000003, '3': 0.525, '4': 0.525, '5': 0.47500000000000003, '6': 0.45, '7': 0.525}, total_sparsity:0.49375, loss: 11.115273475646973
sparsity_dict: {'0': 0.5, '1': 0.45, '2': 0.45, '3': 0.525, '4': 0.55, '5': 0.47500000000000003, '6': 0.5, '7': 0.5}, total_sparsity:0.49375, loss: 11.036102294921875
sparsity_dict: {'0': 0.525, '1': 0.45, '2': 0.45, '3': 0.525, '4': 0.525, '5': 0.47500000000000003, '6': 0.5, '7': 0.5}, total_sparsity:0.49375, loss: 11.041276931762695
sparsity_dict: {'0': 0.525, '1': 0.45, '2': 0.45, '3': 0.525, '4': 0.525, '5': 0.47500000000000003, '6': 0.525, '7': 0.5}, total_sparsity:0.496875, loss: 11.071940422058105
sparsity_dict: {'0': 0.5, '1': 0.45, '2': 0.45, '3': 0.525, '4': 0.525, '5': 0.47500000000000003, '6': 0.525, '7': 0.5}, total_sparsity:0.49375, loss: 10.994363784790039
sparsity_dict: {'0': 0.5, '1': 0.45, '2': 0.45, '3': 0.525, '4': 0.5, '5': 0.47500000000000003, '6': 0.525, '7': 0.5}, total_sparsity:0.49062500000000003, loss: 10.942947387695312
sparsity_dict: {'0': 0.5, '1': 0.45, '2': 0.45, '3': 0.55, '4': 0.5, '5': 0.47500000000000003, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.940383911132812
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.45, '3': 0.55, '4': 0.5, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.917118072509766
sparsity_dict: {'0': 0.47500000000000003, '1': 0.55, '2': 0.47500000000000003, '3': 0.55, '4': 0.5, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.5062500000000001, loss: 11.396883010864258
sparsity_dict: {'0': 0.47500000000000003, '1': 0.47500000000000003, '2': 0.45, '3': 0.55, '4': 0.5, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49375, loss: 10.98835277557373
sparsity_dict: {'0': 0.5, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49375, loss: 10.973340034484863
sparsity_dict: {'0': 0.47500000000000003, '1': 0.5, '2': 0.45, '3': 0.55, '4': 0.5, '5': 0.47500000000000003, '6': 0.55, '7': 0.45}, total_sparsity:0.49375, loss: 11.019302368164062
sparsity_dict: {'0': 0.5, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49375, loss: 10.973340034484863
sparsity_dict: {'0': 0.5, '1': 0.45, '2': 0.45, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.55, '7': 0.47500000000000003}, total_sparsity:0.49375, loss: 10.96798324584961
sparsity_dict: {'0': 0.5, '1': 0.45, '2': 0.45, '3': 0.55, '4': 0.5, '5': 0.525, '6': 0.55, '7': 0.47500000000000003}, total_sparsity:0.5, loss: 11.060270309448242
sparsity_dict: {'0': 0.47500000000000003, '1': 0.47500000000000003, '2': 0.45, '3': 0.525, '4': 0.5, '5': 0.5, '6': 0.55, '7': 0.47500000000000003}, total_sparsity:0.49375, loss: 10.97441291809082
sparsity_dict: {'0': 0.5, '1': 0.45, '2': 0.45, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.525, '7': 0.47500000000000003}, total_sparsity:0.49062500000000003, loss: 10.929704666137695
sparsity_dict: {'0': 0.47500000000000003, '1': 0.45, '2': 0.47500000000000003, '3': 0.55, '4': 0.5, '5': 0.5, '6': 0.5, '7': 0.5}, total_sparsity:0.49375, loss: 10.980414390563965
sparsity_dict: {'0': 0.55, '1': 0.45, '2': 0.47500000000000003, '3': 0.5, '4': 0.5, '5': 0.47500000000000003, '6': 0.5, '7': 0.47500000000000003}, total_sparsity:0.4906250000000001, loss: 11.051848411560059
sparsity_dict: {'0': 0.5, '1': 0.45, '2': 0.45, '3': 0.55, '4': 0.47500000000000003, '5': 0.5, '6': 0.55, '7': 0.47500000000000003}, total_sparsity:0.49375, loss: 10.96798324584961
sparsity_dict: {'0': 0.5, '1': 0.45, '2': 0.45, '3': 0.55, '4': 0.45, '5': 0.5, '6': 0.55, '7': 0.47500000000000003}, total_sparsity:0.490625, loss: 10.924582481384277
