sparsity_dict: {'0-self_attn.q_proj': 0.55, '0-self_attn.k_proj': 0.55, '0-self_attn.v_proj': 0.55, '0-self_attn.o_proj': 0.55, '0-mlp.gate_proj': 0.47500000000000003, '0-mlp.up_proj': 0.47500000000000003, '0-mlp.down_proj': 0.55, '1-self_attn.q_proj': 0.47500000000000003, '1-self_attn.k_proj': 0.55, '1-self_attn.v_proj': 0.55, '1-self_attn.o_proj': 0.55, '1-mlp.gate_proj': 0.47500000000000003, '1-mlp.up_proj': 0.45, '1-mlp.down_proj': 0.47500000000000003, '2-self_attn.q_proj': 0.5, '2-self_attn.k_proj': 0.45, '2-self_attn.v_proj': 0.47500000000000003, '2-self_attn.o_proj': 0.55, '2-mlp.gate_proj': 0.5, '2-mlp.up_proj': 0.525, '2-mlp.down_proj': 0.55, '3-self_attn.q_proj': 0.47500000000000003, '3-self_attn.k_proj': 0.55, '3-self_attn.v_proj': 0.55, '3-self_attn.o_proj': 0.55, '3-mlp.gate_proj': 0.525, '3-mlp.up_proj': 0.5, '3-mlp.down_proj': 0.525, '4-self_attn.q_proj': 0.525, '4-self_attn.k_proj': 0.45, '4-self_attn.v_proj': 0.55, '4-self_attn.o_proj': 0.45, '4-mlp.gate_proj': 0.47500000000000003, '4-mlp.up_proj': 0.45, '4-mlp.down_proj': 0.525, '5-self_attn.q_proj': 0.45, '5-self_attn.k_proj': 0.525, '5-self_attn.v_proj': 0.47500000000000003, '5-self_attn.o_proj': 0.55, '5-mlp.gate_proj': 0.525, '5-mlp.up_proj': 0.5, '5-mlp.down_proj': 0.47500000000000003, '6-self_attn.q_proj': 0.525, '6-self_attn.k_proj': 0.47500000000000003, '6-self_attn.v_proj': 0.45, '6-self_attn.o_proj': 0.55, '6-mlp.gate_proj': 0.55, '6-mlp.up_proj': 0.525, '6-mlp.down_proj': 0.525, '7-self_attn.q_proj': 0.45, '7-self_attn.k_proj': 0.5, '7-self_attn.v_proj': 0.55, '7-self_attn.o_proj': 0.45, '7-mlp.gate_proj': 0.55, '7-mlp.up_proj': 0.47500000000000003, '7-mlp.down_proj': 0.5},total_sparsity:0.506404958677686,loss: 8.0838041305542
sparsity_dict: {'0-self_attn.q_proj': 0.55, '0-self_attn.k_proj': 0.45, '0-self_attn.v_proj': 0.47500000000000003, '0-self_attn.o_proj': 0.47500000000000003, '0-mlp.gate_proj': 0.47500000000000003, '0-mlp.up_proj': 0.45, '0-mlp.down_proj': 0.55, '1-self_attn.q_proj': 0.47500000000000003, '1-self_attn.k_proj': 0.525, '1-self_attn.v_proj': 0.525, '1-self_attn.o_proj': 0.45, '1-mlp.gate_proj': 0.45, '1-mlp.up_proj': 0.525, '1-mlp.down_proj': 0.525, '2-self_attn.q_proj': 0.47500000000000003, '2-self_attn.k_proj': 0.5, '2-self_attn.v_proj': 0.45, '2-self_attn.o_proj': 0.5, '2-mlp.gate_proj': 0.55, '2-mlp.up_proj': 0.55, '2-mlp.down_proj': 0.55, '3-self_attn.q_proj': 0.5, '3-self_attn.k_proj': 0.5, '3-self_attn.v_proj': 0.525, '3-self_attn.o_proj': 0.525, '3-mlp.gate_proj': 0.55, '3-mlp.up_proj': 0.55, '3-mlp.down_proj': 0.45, '4-self_attn.q_proj': 0.55, '4-self_attn.k_proj': 0.525, '4-self_attn.v_proj': 0.55, '4-self_attn.o_proj': 0.47500000000000003, '4-mlp.gate_proj': 0.47500000000000003, '4-mlp.up_proj': 0.47500000000000003, '4-mlp.down_proj': 0.55, '5-self_attn.q_proj': 0.5, '5-self_attn.k_proj': 0.45, '5-self_attn.v_proj': 0.45, '5-self_attn.o_proj': 0.55, '5-mlp.gate_proj': 0.525, '5-mlp.up_proj': 0.45, '5-mlp.down_proj': 0.5, '6-self_attn.q_proj': 0.5, '6-self_attn.k_proj': 0.55, '6-self_attn.v_proj': 0.47500000000000003, '6-self_attn.o_proj': 0.47500000000000003, '6-mlp.gate_proj': 0.525, '6-mlp.up_proj': 0.525, '6-mlp.down_proj': 0.55, '7-self_attn.q_proj': 0.525, '7-self_attn.k_proj': 0.45, '7-self_attn.v_proj': 0.47500000000000003, '7-self_attn.o_proj': 0.5, '7-mlp.gate_proj': 0.47500000000000003, '7-mlp.up_proj': 0.5, '7-mlp.down_proj': 0.45},total_sparsity:0.5038481404958678,loss: 7.96636438369751
sparsity_dict: {'0-self_attn.q_proj': 0.55, '0-self_attn.k_proj': 0.55, '0-self_attn.v_proj': 0.45, '0-self_attn.o_proj': 0.5, '0-mlp.gate_proj': 0.525, '0-mlp.up_proj': 0.47500000000000003, '0-mlp.down_proj': 0.55, '1-self_attn.q_proj': 0.5, '1-self_attn.k_proj': 0.55, '1-self_attn.v_proj': 0.5, '1-self_attn.o_proj': 0.55, '1-mlp.gate_proj': 0.55, '1-mlp.up_proj': 0.5, '1-mlp.down_proj': 0.525, '2-self_attn.q_proj': 0.45, '2-self_attn.k_proj': 0.55, '2-self_attn.v_proj': 0.5, '2-self_attn.o_proj': 0.47500000000000003, '2-mlp.gate_proj': 0.55, '2-mlp.up_proj': 0.45, '2-mlp.down_proj': 0.5, '3-self_attn.q_proj': 0.55, '3-self_attn.k_proj': 0.45, '3-self_attn.v_proj': 0.45, '3-self_attn.o_proj': 0.55, '3-mlp.gate_proj': 0.47500000000000003, '3-mlp.up_proj': 0.55, '3-mlp.down_proj': 0.47500000000000003, '4-self_attn.q_proj': 0.5, '4-self_attn.k_proj': 0.5, '4-self_attn.v_proj': 0.525, '4-self_attn.o_proj': 0.525, '4-mlp.gate_proj': 0.5, '4-mlp.up_proj': 0.525, '4-mlp.down_proj': 0.525, '5-self_attn.q_proj': 0.55, '5-self_attn.k_proj': 0.55, '5-self_attn.v_proj': 0.525, '5-self_attn.o_proj': 0.45, '5-mlp.gate_proj': 0.45, '5-mlp.up_proj': 0.47500000000000003, '5-mlp.down_proj': 0.5, '6-self_attn.q_proj': 0.5, '6-self_attn.k_proj': 0.5, '6-self_attn.v_proj': 0.45, '6-self_attn.o_proj': 0.5, '6-mlp.gate_proj': 0.5, '6-mlp.up_proj': 0.55, '6-mlp.down_proj': 0.5, '7-self_attn.q_proj': 0.5, '7-self_attn.k_proj': 0.47500000000000003, '7-self_attn.v_proj': 0.47500000000000003, '7-self_attn.o_proj': 0.5, '7-mlp.gate_proj': 0.525, '7-mlp.up_proj': 0.55, '7-mlp.down_proj': 0.47500000000000003},total_sparsity:0.5071280991735538,loss: 8.11256217956543
sparsity_dict: {'0-self_attn.q_proj': 0.47500000000000003, '0-self_attn.k_proj': 0.5, '0-self_attn.v_proj': 0.55, '0-self_attn.o_proj': 0.525, '0-mlp.gate_proj': 0.5, '0-mlp.up_proj': 0.45, '0-mlp.down_proj': 0.47500000000000003, '1-self_attn.q_proj': 0.55, '1-self_attn.k_proj': 0.55, '1-self_attn.v_proj': 0.45, '1-self_attn.o_proj': 0.55, '1-mlp.gate_proj': 0.45, '1-mlp.up_proj': 0.55, '1-mlp.down_proj': 0.47500000000000003, '2-self_attn.q_proj': 0.45, '2-self_attn.k_proj': 0.47500000000000003, '2-self_attn.v_proj': 0.525, '2-self_attn.o_proj': 0.45, '2-mlp.gate_proj': 0.47500000000000003, '2-mlp.up_proj': 0.525, '2-mlp.down_proj': 0.55, '3-self_attn.q_proj': 0.55, '3-self_attn.k_proj': 0.55, '3-self_attn.v_proj': 0.5, '3-self_attn.o_proj': 0.525, '3-mlp.gate_proj': 0.525, '3-mlp.up_proj': 0.45, '3-mlp.down_proj': 0.525, '4-self_attn.q_proj': 0.5, '4-self_attn.k_proj': 0.5, '4-self_attn.v_proj': 0.5, '4-self_attn.o_proj': 0.45, '4-mlp.gate_proj': 0.47500000000000003, '4-mlp.up_proj': 0.525, '4-mlp.down_proj': 0.55, '5-self_attn.q_proj': 0.55, '5-self_attn.k_proj': 0.47500000000000003, '5-self_attn.v_proj': 0.47500000000000003, '5-self_attn.o_proj': 0.45, '5-mlp.gate_proj': 0.47500000000000003, '5-mlp.up_proj': 0.5, '5-mlp.down_proj': 0.525, '6-self_attn.q_proj': 0.55, '6-self_attn.k_proj': 0.5, '6-self_attn.v_proj': 0.525, '6-self_attn.o_proj': 0.525, '6-mlp.gate_proj': 0.45, '6-mlp.up_proj': 0.525, '6-mlp.down_proj': 0.55, '7-self_attn.q_proj': 0.55, '7-self_attn.k_proj': 0.55, '7-self_attn.v_proj': 0.55, '7-self_attn.o_proj': 0.525, '7-mlp.gate_proj': 0.47500000000000003, '7-mlp.up_proj': 0.47500000000000003, '7-mlp.down_proj': 0.55},total_sparsity:0.5043130165289257,loss: 7.896353244781494
sparsity_dict: {'0-self_attn.q_proj': 0.47500000000000003, '0-self_attn.k_proj': 0.5, '0-self_attn.v_proj': 0.45, '0-self_attn.o_proj': 0.525, '0-mlp.gate_proj': 0.525, '0-mlp.up_proj': 0.55, '0-mlp.down_proj': 0.47500000000000003, '1-self_attn.q_proj': 0.55, '1-self_attn.k_proj': 0.5, '1-self_attn.v_proj': 0.47500000000000003, '1-self_attn.o_proj': 0.5, '1-mlp.gate_proj': 0.525, '1-mlp.up_proj': 0.55, '1-mlp.down_proj': 0.5, '2-self_attn.q_proj': 0.525, '2-self_attn.k_proj': 0.47500000000000003, '2-self_attn.v_proj': 0.5, '2-self_attn.o_proj': 0.5, '2-mlp.gate_proj': 0.55, '2-mlp.up_proj': 0.45, '2-mlp.down_proj': 0.55, '3-self_attn.q_proj': 0.47500000000000003, '3-self_attn.k_proj': 0.55, '3-self_attn.v_proj': 0.5, '3-self_attn.o_proj': 0.55, '3-mlp.gate_proj': 0.55, '3-mlp.up_proj': 0.5, '3-mlp.down_proj': 0.47500000000000003, '4-self_attn.q_proj': 0.55, '4-self_attn.k_proj': 0.5, '4-self_attn.v_proj': 0.525, '4-self_attn.o_proj': 0.5, '4-mlp.gate_proj': 0.55, '4-mlp.up_proj': 0.55, '4-mlp.down_proj': 0.5, '5-self_attn.q_proj': 0.45, '5-self_attn.k_proj': 0.525, '5-self_attn.v_proj': 0.45, '5-self_attn.o_proj': 0.525, '5-mlp.gate_proj': 0.55, '5-mlp.up_proj': 0.55, '5-mlp.down_proj': 0.55, '6-self_attn.q_proj': 0.525, '6-self_attn.k_proj': 0.47500000000000003, '6-self_attn.v_proj': 0.45, '6-self_attn.o_proj': 0.5, '6-mlp.gate_proj': 0.55, '6-mlp.up_proj': 0.45, '6-mlp.down_proj': 0.45, '7-self_attn.q_proj': 0.45, '7-self_attn.k_proj': 0.55, '7-self_attn.v_proj': 0.5, '7-self_attn.o_proj': 0.525, '7-mlp.gate_proj': 0.5, '7-mlp.up_proj': 0.55, '7-mlp.down_proj': 0.55},total_sparsity:0.5144628099173554,loss: 8.115114212036133
sparsity_dict: {'0-self_attn.q_proj': 0.45, '0-self_attn.k_proj': 0.47500000000000003, '0-self_attn.v_proj': 0.5, '0-self_attn.o_proj': 0.525, '0-mlp.gate_proj': 0.55, '0-mlp.up_proj': 0.55, '0-mlp.down_proj': 0.5, '1-self_attn.q_proj': 0.55, '1-self_attn.k_proj': 0.45, '1-self_attn.v_proj': 0.45, '1-self_attn.o_proj': 0.525, '1-mlp.gate_proj': 0.5, '1-mlp.up_proj': 0.5, '1-mlp.down_proj': 0.45, '2-self_attn.q_proj': 0.55, '2-self_attn.k_proj': 0.525, '2-self_attn.v_proj': 0.55, '2-self_attn.o_proj': 0.45, '2-mlp.gate_proj': 0.45, '2-mlp.up_proj': 0.525, '2-mlp.down_proj': 0.525, '3-self_attn.q_proj': 0.45, '3-self_attn.k_proj': 0.525, '3-self_attn.v_proj': 0.55, '3-self_attn.o_proj': 0.525, '3-mlp.gate_proj': 0.45, '3-mlp.up_proj': 0.45, '3-mlp.down_proj': 0.55, '4-self_attn.q_proj': 0.47500000000000003, '4-self_attn.k_proj': 0.45, '4-self_attn.v_proj': 0.45, '4-self_attn.o_proj': 0.55, '4-mlp.gate_proj': 0.45, '4-mlp.up_proj': 0.55, '4-mlp.down_proj': 0.55, '5-self_attn.q_proj': 0.55, '5-self_attn.k_proj': 0.47500000000000003, '5-self_attn.v_proj': 0.47500000000000003, '5-self_attn.o_proj': 0.47500000000000003, '5-mlp.gate_proj': 0.5, '5-mlp.up_proj': 0.525, '5-mlp.down_proj': 0.45, '6-self_attn.q_proj': 0.45, '6-self_attn.k_proj': 0.525, '6-self_attn.v_proj': 0.525, '6-self_attn.o_proj': 0.525, '6-mlp.gate_proj': 0.45, '6-mlp.up_proj': 0.525, '6-mlp.down_proj': 0.55, '7-self_attn.q_proj': 0.55, '7-self_attn.k_proj': 0.525, '7-self_attn.v_proj': 0.55, '7-self_attn.o_proj': 0.525, '7-mlp.gate_proj': 0.45, '7-mlp.up_proj': 0.525, '7-mlp.down_proj': 0.525},total_sparsity:0.5026859504132233,loss: 7.945542335510254
sparsity_dict: {'0-self_attn.q_proj': 0.45, '0-self_attn.k_proj': 0.47500000000000003, '0-self_attn.v_proj': 0.5, '0-self_attn.o_proj': 0.525, '0-mlp.gate_proj': 0.55, '0-mlp.up_proj': 0.55, '0-mlp.down_proj': 0.5, '1-self_attn.q_proj': 0.55, '1-self_attn.k_proj': 0.45, '1-self_attn.v_proj': 0.45, '1-self_attn.o_proj': 0.525, '1-mlp.gate_proj': 0.5, '1-mlp.up_proj': 0.5, '1-mlp.down_proj': 0.45, '2-self_attn.q_proj': 0.55, '2-self_attn.k_proj': 0.525, '2-self_attn.v_proj': 0.55, '2-self_attn.o_proj': 0.45, '2-mlp.gate_proj': 0.45, '2-mlp.up_proj': 0.525, '2-mlp.down_proj': 0.525, '3-self_attn.q_proj': 0.45, '3-self_attn.k_proj': 0.525, '3-self_attn.v_proj': 0.55, '3-self_attn.o_proj': 0.525, '3-mlp.gate_proj': 0.45, '3-mlp.up_proj': 0.45, '3-mlp.down_proj': 0.55, '4-self_attn.q_proj': 0.47500000000000003, '4-self_attn.k_proj': 0.45, '4-self_attn.v_proj': 0.45, '4-self_attn.o_proj': 0.55, '4-mlp.gate_proj': 0.45, '4-mlp.up_proj': 0.55, '4-mlp.down_proj': 0.55, '5-self_attn.q_proj': 0.55, '5-self_attn.k_proj': 0.47500000000000003, '5-self_attn.v_proj': 0.47500000000000003, '5-self_attn.o_proj': 0.47500000000000003, '5-mlp.gate_proj': 0.5, '5-mlp.up_proj': 0.525, '5-mlp.down_proj': 0.45, '6-self_attn.q_proj': 0.45, '6-self_attn.k_proj': 0.525, '6-self_attn.v_proj': 0.525, '6-self_attn.o_proj': 0.525, '6-mlp.gate_proj': 0.45, '6-mlp.up_proj': 0.525, '6-mlp.down_proj': 0.55, '7-self_attn.q_proj': 0.55, '7-self_attn.k_proj': 0.525, '7-self_attn.v_proj': 0.55, '7-self_attn.o_proj': 0.525, '7-mlp.gate_proj': 0.45, '7-mlp.up_proj': 0.525, '7-mlp.down_proj': 0.525},total_sparsity:0.5026859504132233,loss: 7.945542335510254
sparsity_dict: {'0-self_attn.q_proj': 0.45, '0-self_attn.k_proj': 0.47500000000000003, '0-self_attn.v_proj': 0.525, '0-self_attn.o_proj': 0.525, '0-mlp.gate_proj': 0.5, '0-mlp.up_proj': 0.525, '0-mlp.down_proj': 0.525, '1-self_attn.q_proj': 0.525, '1-self_attn.k_proj': 0.45, '1-self_attn.v_proj': 0.47500000000000003, '1-self_attn.o_proj': 0.525, '1-mlp.gate_proj': 0.5, '1-mlp.up_proj': 0.47500000000000003, '1-mlp.down_proj': 0.47500000000000003, '2-self_attn.q_proj': 0.55, '2-self_attn.k_proj': 0.55, '2-self_attn.v_proj': 0.525, '2-self_attn.o_proj': 0.45, '2-mlp.gate_proj': 0.47500000000000003, '2-mlp.up_proj': 0.525, '2-mlp.down_proj': 0.525, '3-self_attn.q_proj': 0.45, '3-self_attn.k_proj': 0.525, '3-self_attn.v_proj': 0.525, '3-self_attn.o_proj': 0.525, '3-mlp.gate_proj': 0.45, '3-mlp.up_proj': 0.47500000000000003, '3-mlp.down_proj': 0.525, '4-self_attn.q_proj': 0.47500000000000003, '4-self_attn.k_proj': 0.47500000000000003, '4-self_attn.v_proj': 0.47500000000000003, '4-self_attn.o_proj': 0.55, '4-mlp.gate_proj': 0.47500000000000003, '4-mlp.up_proj': 0.55, '4-mlp.down_proj': 0.55, '5-self_attn.q_proj': 0.525, '5-self_attn.k_proj': 0.47500000000000003, '5-self_attn.v_proj': 0.47500000000000003, '5-self_attn.o_proj': 0.45, '5-mlp.gate_proj': 0.5, '5-mlp.up_proj': 0.525, '5-mlp.down_proj': 0.45, '6-self_attn.q_proj': 0.47500000000000003, '6-self_attn.k_proj': 0.525, '6-self_attn.v_proj': 0.525, '6-self_attn.o_proj': 0.525, '6-mlp.gate_proj': 0.45, '6-mlp.up_proj': 0.5, '6-mlp.down_proj': 0.525, '7-self_attn.q_proj': 0.55, '7-self_attn.k_proj': 0.525, '7-self_attn.v_proj': 0.55, '7-self_attn.o_proj': 0.525, '7-mlp.gate_proj': 0.47500000000000003, '7-mlp.up_proj': 0.525, '7-mlp.down_proj': 0.525},total_sparsity:0.5022469008264463,loss: 7.918758392333984
sparsity_dict: {'0-self_attn.q_proj': 0.47500000000000003, '0-self_attn.k_proj': 0.525, '0-self_attn.v_proj': 0.525, '0-self_attn.o_proj': 0.525, '0-mlp.gate_proj': 0.5, '0-mlp.up_proj': 0.525, '0-mlp.down_proj': 0.525, '1-self_attn.q_proj': 0.525, '1-self_attn.k_proj': 0.47500000000000003, '1-self_attn.v_proj': 0.47500000000000003, '1-self_attn.o_proj': 0.525, '1-mlp.gate_proj': 0.47500000000000003, '1-mlp.up_proj': 0.45, '1-mlp.down_proj': 0.47500000000000003, '2-self_attn.q_proj': 0.525, '2-self_attn.k_proj': 0.55, '2-self_attn.v_proj': 0.525, '2-self_attn.o_proj': 0.47500000000000003, '2-mlp.gate_proj': 0.47500000000000003, '2-mlp.up_proj': 0.55, '2-mlp.down_proj': 0.525, '3-self_attn.q_proj': 0.525, '3-self_attn.k_proj': 0.525, '3-self_attn.v_proj': 0.525, '3-self_attn.o_proj': 0.5, '3-mlp.gate_proj': 0.47500000000000003, '3-mlp.up_proj': 0.47500000000000003, '3-mlp.down_proj': 0.525, '4-self_attn.q_proj': 0.47500000000000003, '4-self_attn.k_proj': 0.47500000000000003, '4-self_attn.v_proj': 0.47500000000000003, '4-self_attn.o_proj': 0.5, '4-mlp.gate_proj': 0.47500000000000003, '4-mlp.up_proj': 0.525, '4-mlp.down_proj': 0.55, '5-self_attn.q_proj': 0.525, '5-self_attn.k_proj': 0.47500000000000003, '5-self_attn.v_proj': 0.45, '5-self_attn.o_proj': 0.45, '5-mlp.gate_proj': 0.525, '5-mlp.up_proj': 0.5, '5-mlp.down_proj': 0.525, '6-self_attn.q_proj': 0.47500000000000003, '6-self_attn.k_proj': 0.525, '6-self_attn.v_proj': 0.525, '6-self_attn.o_proj': 0.525, '6-mlp.gate_proj': 0.47500000000000003, '6-mlp.up_proj': 0.5, '6-mlp.down_proj': 0.525, '7-self_attn.q_proj': 0.525, '7-self_attn.k_proj': 0.525, '7-self_attn.v_proj': 0.525, '7-self_attn.o_proj': 0.55, '7-mlp.gate_proj': 0.47500000000000003, '7-mlp.up_proj': 0.47500000000000003, '7-mlp.down_proj': 0.55},total_sparsity:0.5041580578512397,loss: 7.924960613250732
sparsity_dict: {'0-self_attn.q_proj': 0.45, '0-self_attn.k_proj': 0.5, '0-self_attn.v_proj': 0.525, '0-self_attn.o_proj': 0.55, '0-mlp.gate_proj': 0.5, '0-mlp.up_proj': 0.525, '0-mlp.down_proj': 0.525, '1-self_attn.q_proj': 0.525, '1-self_attn.k_proj': 0.47500000000000003, '1-self_attn.v_proj': 0.47500000000000003, '1-self_attn.o_proj': 0.55, '1-mlp.gate_proj': 0.55, '1-mlp.up_proj': 0.47500000000000003, '1-mlp.down_proj': 0.47500000000000003, '2-self_attn.q_proj': 0.5, '2-self_attn.k_proj': 0.47500000000000003, '2-self_attn.v_proj': 0.525, '2-self_attn.o_proj': 0.45, '2-mlp.gate_proj': 0.47500000000000003, '2-mlp.up_proj': 0.5, '2-mlp.down_proj': 0.525, '3-self_attn.q_proj': 0.47500000000000003, '3-self_attn.k_proj': 0.47500000000000003, '3-self_attn.v_proj': 0.5, '3-self_attn.o_proj': 0.525, '3-mlp.gate_proj': 0.525, '3-mlp.up_proj': 0.47500000000000003, '3-mlp.down_proj': 0.525, '4-self_attn.q_proj': 0.47500000000000003, '4-self_attn.k_proj': 0.47500000000000003, '4-self_attn.v_proj': 0.47500000000000003, '4-self_attn.o_proj': 0.45, '4-mlp.gate_proj': 0.47500000000000003, '4-mlp.up_proj': 0.5, '4-mlp.down_proj': 0.47500000000000003, '5-self_attn.q_proj': 0.525, '5-self_attn.k_proj': 0.47500000000000003, '5-self_attn.v_proj': 0.5, '5-self_attn.o_proj': 0.5, '5-mlp.gate_proj': 0.5, '5-mlp.up_proj': 0.525, '5-mlp.down_proj': 0.47500000000000003, '6-self_attn.q_proj': 0.47500000000000003, '6-self_attn.k_proj': 0.5, '6-self_attn.v_proj': 0.5, '6-self_attn.o_proj': 0.55, '6-mlp.gate_proj': 0.47500000000000003, '6-mlp.up_proj': 0.5, '6-mlp.down_proj': 0.525, '7-self_attn.q_proj': 0.55, '7-self_attn.k_proj': 0.55, '7-self_attn.v_proj': 0.55, '7-self_attn.o_proj': 0.5, '7-mlp.gate_proj': 0.47500000000000003, '7-mlp.up_proj': 0.525, '7-mlp.down_proj': 0.525},total_sparsity:0.5016528925619835,loss: 7.934250831604004
sparsity_dict: {'0-self_attn.q_proj': 0.47500000000000003, '0-self_attn.k_proj': 0.47500000000000003, '0-self_attn.v_proj': 0.525, '0-self_attn.o_proj': 0.5, '0-mlp.gate_proj': 0.5, '0-mlp.up_proj': 0.5, '0-mlp.down_proj': 0.525, '1-self_attn.q_proj': 0.525, '1-self_attn.k_proj': 0.47500000000000003, '1-self_attn.v_proj': 0.47500000000000003, '1-self_attn.o_proj': 0.525, '1-mlp.gate_proj': 0.525, '1-mlp.up_proj': 0.47500000000000003, '1-mlp.down_proj': 0.55, '2-self_attn.q_proj': 0.55, '2-self_attn.k_proj': 0.55, '2-self_attn.v_proj': 0.525, '2-self_attn.o_proj': 0.47500000000000003, '2-mlp.gate_proj': 0.5, '2-mlp.up_proj': 0.47500000000000003, '2-mlp.down_proj': 0.5, '3-self_attn.q_proj': 0.525, '3-self_attn.k_proj': 0.55, '3-self_attn.v_proj': 0.525, '3-self_attn.o_proj': 0.5, '3-mlp.gate_proj': 0.45, '3-mlp.up_proj': 0.47500000000000003, '3-mlp.down_proj': 0.5, '4-self_attn.q_proj': 0.525, '4-self_attn.k_proj': 0.47500000000000003, '4-self_attn.v_proj': 0.47500000000000003, '4-self_attn.o_proj': 0.55, '4-mlp.gate_proj': 0.47500000000000003, '4-mlp.up_proj': 0.55, '4-mlp.down_proj': 0.55, '5-self_attn.q_proj': 0.525, '5-self_attn.k_proj': 0.45, '5-self_attn.v_proj': 0.47500000000000003, '5-self_attn.o_proj': 0.45, '5-mlp.gate_proj': 0.47500000000000003, '5-mlp.up_proj': 0.5, '5-mlp.down_proj': 0.45, '6-self_attn.q_proj': 0.47500000000000003, '6-self_attn.k_proj': 0.47500000000000003, '6-self_attn.v_proj': 0.5, '6-self_attn.o_proj': 0.47500000000000003, '6-mlp.gate_proj': 0.47500000000000003, '6-mlp.up_proj': 0.5, '6-mlp.down_proj': 0.525, '7-self_attn.q_proj': 0.525, '7-self_attn.k_proj': 0.525, '7-self_attn.v_proj': 0.525, '7-self_attn.o_proj': 0.47500000000000003, '7-mlp.gate_proj': 0.5, '7-mlp.up_proj': 0.5, '7-mlp.down_proj': 0.55},total_sparsity:0.5014721074380166,loss: 7.954982280731201
